champion,about,text,impact
Nidalee,Headhunter Nidalee, Javelin Toss,-2.0
Nidalee,Headhunter Nidalee,Bug Fix: Javelins have been adjusted for colorblind players to better see them.,0.0
Ryze,Stats,Base mana reduced to 300 from 400.,1.0
Ryze,Stats,Base mana regeneration increased to 8 from 6.,1.0
Ryze,Overload,Spell ranks reduced to 5 from 6.,1.0
Ryze,Overload,Base damage changed  to 80 / 105 / 130 / 155 / 180 from 60 / 85 / 110 / 135 / 160 / 185.,1.0
Ryze,Overload,"Removed: If Ryze consumes 2 Runes, he no longer shields himself for 65 - 150 (based on level) (+60% AP) (+3% bonus mana) damage for 2 seconds. He still gains the bonus movement speed.",1.0
Ryze,Overload,Bonus damage changed to 10 / 40 / 70 / 100% (based on  Realm Warp's rank) from 40 / 50 / 60 / 70 / 80% (based on  Spell Flux's rank).,1.0
Ryze,Overload,Bonus movement speed changed to 20 / 25 / 30 / 35 / 40% from 25 / 28 / 31 / 34 / 37 / 40%.,1.0
Ryze,Rune Prison,Mana ratio increased to 4% bonus mana from 1%.,1.0
Ryze,Rune Prison,Mana cost changed to 40 / 55 / 70 / 85 / 100 from 50 / 60 / 70 / 80 / 90.,-1.0
Ryze,Rune Prison,New Effect: Now  slows for 35% for 1.5 seconds rather than  rooting for 0.75 seconds.,1.0
Ryze,Rune Prison,New Effect:  Spell Flux now converts the  slow to a  root rather than increasing the crowd control duration.,1.0
Ryze,Spell Flux,Base damage reduced to 60 / 80 / 100 / 120 / 140 from 70 / 90 / 110 / 130 / 150.,1.0
Ryze,Spell Flux,Mana cost reduced to 40 / 55 / 70 / 85 / 100 from 60 / 70 / 80 / 90 / 100.,-1.0
Ryze,Spell Flux,New Effect: Now always bounces off the primary target.,1.0
Ryze,Spell Flux,Removed: Bounces no longer damages secondary enemies hit for half damage.,1.0
Ryze,Spell Flux,Removed: No longer spreads Spell Flux on kill.,1.0
Ryze,Realm Warp,Spell ranks increased to 3 from 2.,1.0
Ryze,Realm Warp,New Effect: Now increases  Overload's increased damage to 40 / 70 / 100% against targets with  Spell Flux.,1.0
Ryze,Realm Warp,New Effect: Immediately casts at maximum range when attempting to cast beyond maximum range.,1.0
Ryze,Realm Warp,Minimum cast range increased to 1000 units from 730.,1.0
Ryze,Realm Warp,Maximum cast range increased to 3000 units at all ranks from 1750 / 3000.,1.0
Ryze,Realm Warp,Cooldown changed to 210 / 180 / 150 seconds from 180 at all ranks.,-1.0
Sylas,Petricite Burst,New Effect: Now can store up to 2 charges.,1.0
Sylas,Petricite Burst,Base damage increased to 9 - 60 (based on level) from 5 - 47.5 (based on level).,1.0
Sylas,Petricite Burst,New Effect: Now deals 30% damage to minions who aren't his primary targets.,1.0
Sylas,Chain Lash,Detonation base damage reduced to 40 / 60 / 80 / 100 / 120 from 45 / 70 / 95 / 120 / 145.,1.0
Sylas,Chain Lash,Detonation AP ratio reduced to 40% AP from 60% AP.,1.0
Sylas,Chain Lash,Detonation radius against minions reduced to 180 units from 200.,1.0
Sylas,Kingslayer,Base heal strength increased to 70 / 90 / 110 / 130 / 150 from 60 / 80 / 100 / 120 / 140.,1.0
Sylas,Kingslayer,Heal AP ratio increased to 50% AP from 40% AP.,1.0
Sylas,Abscond,Removed: No longer shields for 60 / 90 / 120 / 150 / 180 (+90% AP) for 2 seconds upon dashing.,1.0
Sylas,Abscond,Cooldown increased to 18 / 17 / 16 / 15 / 14 seconds from 18 / 16 / 14 / 12 / 10.,-1.0
Sylas,Abduct,New Effect: Now shields for 80 / 115 / 150 / 185 / 220 (+100% AP) for 2 seconds if he hits an enemy champion or monster.,1.0
Tahm Kench,Devour,Bug Fix: Fixed a bug where casting  Tongue Lash during Devour against non-champions would have no mana cost.,0.0
Tahm Kench,Devour,New Effect: Allies can no longer release themselves from Devour early while affected by immobilizing crowd control.,-1.0
Tahm Kench,Regurgitate,Champion regurgitate lockout time after animation reduced to 0.25 seconds from 1.,-2.0
Tahm Kench,Regurgitate,Allied champion regurgitate range reduced to 250 units from 400.,1.0
Tahm Kench,Regurgitate,Regurgitate base damage reduced to 60 / 105 / 150 / 195 / 240 from 100 / 135 / 170 / 205 / 240.,1.0
Tahm Kench,Regurgitate,Regurgitate health ratio increased to  9 / 10 / 11 / 12 / 13% of target's maximum health from 5 / 7 / 9 / 11 / 13%.,1.0
Tryndamere,General,New visual effects.,-2.0
Tryndamere,General,New basic attack hit effects and adjusted weapon trails.,-2.0
Tryndamere,General,All skins cleaned up to match the new effects on the base skin.,-2.0
Tryndamere,Battle Fury,New rage indicator effect.,-2.0
Tryndamere,Bloodlust,More visible heal effect with reduced noise.,1.0
Tryndamere,Mocking Shout,Added a cast effect that shows range.,-2.0
Tryndamere,Spinning Slash,New effect that shows the actual width of the AoE.,-2.0
Tryndamere,Undying Rage,New activation and buff effects.,-2.0
Tryndamere,Demonblade Tryndamere,New fiery effects.,-2.0
Warwick,Jaws of the Beast,Bug Fix: Tooltip now lists the correct AP ratio.,0.0
Yuumi,General,No longer shows  Prowling Projectile and  You and Me!'s range rings and  Final Chapter's gutters in spectator.,-2.0
Yuumi,Stats,Base health increased to 480 to 432.26.,1.0
Yuumi,Bop 'n' Block,Mana restored reduced to 30 - 160 (based on level) from 40 - 160 (based on level).,1.0
Yuumi,Bop 'n' Block,Shield strength reduced to 80 - 300 (based on level) from 80 - 360 (based on level).,1.0
Yuumi,Bop 'n' Block,Shield AP ratio reduced to 30% AP from 40% AP.,1.0
Yuumi,Prowling Projectile,Bug Fix: Fixed a bug where the missile would not spawn towards the cursor as intended.,0.0
Yuumi,Prowling Projectile,Missile spawns in the appropriate place while attached.,-2.0
Yuumi,You and Me!,New Effect: Enemies now gain an assist on Yuumi if they damage an attached ally.,1.0
Yuumi,You and Me!,Adaptive force changed to 5 / 7 / 9 / 11 / 13 (+ 4 / 7 / 10 / 13 / 16%) from 5 / 9 / 13 / 17 / 21%.,1.0
Yuumi,You and Me!,New Effect: Dash is now interrupted by any immobilizing crowd control.,-1.0
Yuumi,You and Me!,Bug Fix: Fixed a bug where Yuumi would detach unintentionally when trying to attach to another champion outside of her range.,0.0
Yuumi,You and Me!,New Effect: Now gets visuals when her ally is stealthed.,-2.0
Yuumi,You and Me!,New Effect: Now sees a ring around the ally she's attached to.,-2.0
Zac,Unstable Matter,Base damage increased to 25 / 40 / 55 / 70 / 85 from 15 / 30 / 45 / 60 / 75.,1.0
Zac,Let's Bounce!,Knockback changed to 250 units away from where target is hit from 400 units away from Zac's center.,-2.0
Zac,Let's Bounce!,"New Effect: Each bounce that hits one or more enemy champions spawns a chunk (hitting the same enemy still spawns a chunk), instead of each enemy champion spawns a chunk the first time they're hit by a bounce (subsequent bounces on the same enemy won't spawn additional chunks).",1.0
Ziggs,General,New visual effects.,-2.0
Ziggs,General,New basic attack sparky missiles and hit effects.,-2.0
Ziggs,Short Fuse,Empowered hits are more explode-y; missiles are more sparky.,-2.0
Ziggs,Bouncing Bomb,"More sparks, new missile, and the explosion now leaves a crater that shows the size of the AoE.",-2.0
Ziggs,Satchel Charge,New explosion that leaves behind a crater.,-2.0
Ziggs,Satchel Charge,New upward movement to reinforce the knock-up feel.,1.0
Ziggs,Satchel Charge,New hit effects.,-2.0
Ziggs,Satchel Charge,Adjusted AoE indicators to match hitbox.,-2.0
Ziggs,Hexplosive Minefield,Subtle trail on the missiles and range indicator on the mines.,-2.0
Ziggs,Hexplosive Minefield,Leaves small craters on impact.,-2.0
Ziggs,Hexplosive Minefield,More sparks.,-2.0
Ziggs,Mega Inferno Bomb,Mushroom cloud and more sparks.,-2.0
Ziggs,Mega Inferno Bomb,"New cast, indicators, missile, AoE, and hit effects.",-2.0
Ziggs,Mad Scientist Ziggs,Now with more bubbles and green goo.,-2.0
Ziggs,Pool Party Ziggs,Cleaned up the noise on his abilities and adjusted to better match the rest of the skin line.,-2.0
Ziggs,Snow Day Ziggs,Cleaned up the noise on his abilities and added some warmth to his missiles and explosions.,-2.0
Ziggs,Master Arcanist Ziggs,Added the crater in his ultimate and updated the indicator to match the base skin's.,-2.0
Ziggs,Odyssey Ziggs,Added the crater in his ultimate.,-2.0
Yuumi,Prowling Projectile,Bug Fix: Fixed a bug where the mana cost would be doubled while attached to an ally.,0.0
Yuumi,You and Me!,Bug Fix: Fixed a bug where Yuumi would be locked out of her spells if her dash was interrupted.,0.0
Mordekaiser,Stats,Base attack damage reduced to 61 from 65.,1.0
Mordekaiser,Stats,Base armor reduced to 37 from 39.,1.0
Mordekaiser,Stats,Magic resistance growth reduced to 1.25 from 1.5.,1.0
Mordekaiser,Stats,Armor growth reduced to 3 from 4.,1.0
Mordekaiser,Darkness Rise,Base damage reduced to 8 - 25 (based on level) from 10 - 35.5 (based on level).,1.0
Mordekaiser,Darkness Rise,Bonus movement speed reduced to 3% - 9% (based on level) from 5% - 10% (based on level).,1.0
Mordekaiser,Darkness Rise,Health ratio reduced to 1% - 5% (based on level) of target's maximum health from 1% - 6.1% (based on level).,1.0
Thresh,Dark Passage,"Bug Fix: After Dark Passage expires, the enemy team's  Trundle no longer heals for an excessive amount of health.",0.0
Akali,Assassin's Mark,Energy restoration reduced to 10 / 15 / 20 (based on level) from 10 / 20 / 30 (based on level).,1.0
Akali,Assassin's Mark,Bonus AD ratio reduced to 60% bonus AD from 90%.,1.0
Akali,Assassin's Mark,AP ratio reduced to 50% AP from 70% AP.,1.0
Amumu,Cursed Touch,Bonus true damage reduced to 10% from 13%.,1.0
Diana,Dark Valkyrie Diana, Crescent Strike,-2.0
Diana,Dark Valkyrie Diana,Bug Fix: Moonlight particles no longer briefly reappear after it expires on a champions.,0.0
Draven,Whirling Death,Bug Fix: Now properly decreases in damage based on how many units are hit.,0.0
Ekko,Phase Dive,Now consistently basic attacks at his regular cadence after using Phase Dive instead of having to wait for his animation.,-2.0
Galio,Shield of Durand,Minimum base damage reduced to 10 / 20 / 30 / 40 / 50 from 20 / 30 / 40 / 50 / 60.,1.0
Galio,Shield of Durand,Minimum AP ratio increased to 30% AP from 20% AP.,1.0
Galio,Shield of Durand,Maximum base damage reduced to 30 / 60 / 90 / 120 / 150 from 60 / 90 / 120 / 150 / 180.,1.0
Galio,Shield of Durand,Maximum AP ratio increased to 90% AP from 60% AP.,1.0
Galio,Justice Punch,Base damage reduced to 80 / 120 / 160 / 200 / 240 from 100 / 135 / 170 / 205 / 240.,1.0
Gragas,Stats,Base health increased to 600 from 583.52.,1.0
Gragas,Stats,Health growth increased to 95 from 89.,1.0
Gragas,Stats,Base attack damage increased to 64 from 61.38.,1.0
Illaoi,Leap of Faith,Undocumented: Hitting the Spirit no longer spawns two tentacles.,1.0
Janna,Zephyr,Cooldown reduced to 8 / 7.5 / 7 / 6.5 / 6 seconds from 8 at all ranks.,-1.0
Janna,Zephyr,Base damage reduced to 55 / 90 / 125 / 160 / 195 from 55 / 100 / 145 / 190 / 235.,1.0
Janna,Eye of the Storm,"New Effect: Each ability that  slows or  knocks an enemy champion airborne reduces Eye of the Storm's cooldown by 20%, up to once per ability cast.",-1.0
Janna,Eye of the Storm,Cooldown changed to 16 / 15 / 14 / 13 / 12 seconds from 18 / 16 / 14 / 12 / 10.,-1.0
Janna,Eye of the Storm,Base shield strength increased to 80 / 115 / 150 / 185 / 220 from 70 / 105 / 140 / 175 / 210.,1.0
Jayce,Shock Blast,Base damage reduced to 70 / 115 / 160 / 205 / 250 / 295 from 70 / 120 / 170 / 220 / 270 / 320.,1.0
Jayce,Shock Blast,Bonus AD ratio reduced to 100% bonus AD from 120%.,1.0
Karthus,Requiem,Base damage reduced to 200 / 350 / 500 from 250 / 400 / 550.,1.0
Karthus,Requiem,AP ratio reduced to 65% AP from 75% AP.,1.0
Lissandra,Iceborn Subjugation,Bug Fix: Frozen Thralls can no longer take  Eye of the Herald when her team steals the  Rift Herald.,0.0
Master Yi,Stats,No longer has 0.054 additional attack speed at level one.,1.0
Master Yi,Alpha Strike,Repeated strike damage reduced to 15% from 25%.,1.0
Rammus,Spiked Shell,Bonus magic damage changed to 10 at all levels from 8 - 20 (based on level).,1.0
Rammus,Tremors,Base damage per second reduced to 30 / 60 / 90 from 40 / 80 / 120.,1.0
Shaco,Hallucinate,Bug Fix: Clone's auto-attack no longer deals 60% of Shaco's AD instead of 75% on champions.,0.0
Warwick,Jaws of the Beast,Healing percentage increased to 30 / 45 / 60 / 75 / 90% from 30 / 40 / 50 / 60 / 70%.,1.0
Wukong,Cyclone,Bug Fix: Cooldown now starts on cast rather than after Cyclone ends.,0.0
Yuumi,General,Bug Fix: Fixed a bug where her minimap icon would sometimes not show that she's attached to an ally.,0.0
Yuumi,General,Bug Fix: Fixed her missing stats display on her strengths/weaknesses radial menu in the client.,0.0
Yuumi,Prowling Projectile,"New Effect: Range indicator is now much brighter when Prowling Projectile is first cast, fading back down in brightness over its duration for both Yuumi and her attached ally.",-2.0
Yuumi,Prowling Projectile,Bug Fix: Now properly gets knocked towards her Fountain if she gets hits by  Poppy's  Keeper's Verdict while channeling Prowling Projectile.,0.0
Yuumi,You and Me!,New Effect: Now gives assists on champion takedowns from her teammates when she first attaches to a participating ally.,1.0
Yuumi,You and Me!,Bug Fix: Fixed a bug where she was not sending  Summon Aery when hopping between allies with You and Me!.,0.0
Yuumi,You and Me!,Bug Fix: Fixed a bug where her ally would gain  Approach Velocity's bonus movement speed whenever she was attached.,0.0
Yuumi,Zoomies,Flattened Yuumi's movement speed decay to herself and to the ally she's attached to based on ability power.,1.0
Yuumi,Final Chapter,Bug Fix: Now properly gets knocked towards her Fountain if she gets hits by  Poppy's  Keeper's Verdict while channeling Final Chapter.,0.0
Zac,Stretching Strikes,Slow strength reduced to 40% from 60%.,1.0
Zac,Stretching Strikes,Cooldown increased to 15 / 13.5 / 12 / 10.5 / 9 seconds from 13 / 12 / 11 / 10 / 9.,-1.0
Zac,Unstable Matter,New Effect: Health ratio now scales for 2% per 100 AP.,1.0
Zac,Let's Bounce! - Rework,New Effect:,-2.0
Zac,Let's Bounce! - Rework,"Active: After a small delay, Zac bounces 4 times over 3 seconds, gaining 20% - 50% (based on duration) bonus movement speed as he does so but becoming unable to use basic attacks,  Stretching Strikes, or  Elastic Slingshot for the duration. There is a 1-second delay between each bounce.",1.0
Zac,Let's Bounce! - Rework,"Each bounce deals 140 / 210 / 280 (+40% AP) magic damage to all nearby enemies,  knocking them back for 1 second and subsequently  slowing them by 20% for the same duration.",1.0
Zac,Let's Bounce! - Rework,"Enemies can be damaged by multiple bounces, with each beyond the first dealing 50% damage but not  displacing them.",1.0
Zac,Let's Bounce! - Rework,Effect Radius: 300 / 400.,-2.0
Zac,Let's Bounce! - Rework,Cooldown: 130 / 115 / 100 seconds.,-1.0
Zac,Let's Bounce! - Rework,Old Effect:,-2.0
Zac,Let's Bounce! - Rework,"Active - First Cast: Zac squishes himself down while charging for up to 2.5 seconds, during which he is  displacement immune, and  slowing by 30 / 40 / 50% any enemies standing on top of him.",1.0
Zac,Let's Bounce! - Rework,"Second Cast: Zac  knocks back nearby enemies 275 units over 1 second and deals 150 / 250 / 350 (+90% AP) magic damage. If charged for at least 1 second before recasting, Zac instead scoops up enemies on top of him,  carrying them towards the target location. While flying through the air, Zac is immune to  crowd control.",1.0
Zac,Let's Bounce! - Rework,"Upon landing, nearby and transported enemies take the same magic damage and are  slowed by 25% for 0.5 seconds.",1.0
Zac,Let's Bounce! - Rework,Target Range: 700 / 850 / 1000.,-2.0
Zac,Let's Bounce! - Rework,Effect Radius: 300.,-2.0
Zac,Let's Bounce! - Rework,Cooldown: 130 / 115 / 100 seconds.,-1.0
Karthus,Requiem,AP ratio increased to 75% AP from 65% AP.,1.0
Master Yi,Alpha Strike,Repeated strike damage increased to 25% from 15%.,1.0
Vayne,Final Hour,Bug Fix: Fixed a bug where it removed  Night Hunter's bonus movement speed instead of tripling it.,0.0
Cho'Gath,Feast,"Undocumented: New indicator on enemy health bar, indicating when the enemy will be executed.",1.0
Brand,Conflagration,Base damage increased to 70 / 95 / 120 / 145 / 170 from 70 / 90 / 110 / 130 / 150.,1.0
Brand,Conflagration,AP ratio increased to 45% AP from 35% AP.,1.0
Caitlyn,Yordle Snap Trap,Base damage increased to 60 / 105 / 150 / 195 / 240 from 40 / 90 / 140 / 190 / 240.,1.0
Fiora,Riposte,New Effect: No longer prevents  Braum's  Concussive Blows and  Kennen's  Mark of the Storm to apply the last stack of their passives. Now blocks the stun and the damage from the attack.,1.0
Graves,End of the Line,Detonation base damage increased to 85 / 120 / 155 / 190 / 225 from 85 / 115 / 145 / 175 / 205.,1.0
Master Yi,Alpha Strike,Removed: No longer has a 0.1-second cast time.,-1.0
Master Yi,Alpha Strike,"New Effect: If Master Yi has struck less than the maximum amount of targets and there are no eligible targets nearby, he strikes the same target for 25% damage before checking again. These minor strikes deal damage instantly.",1.0
Master Yi,Alpha Strike,"New Effect: Duration is now always 0.8 seconds, rather than depending on the number of targets.",-1.0
Master Yi,Meditate,Removed No longer has a 0.05-second cast time.,-1.0
Master Yi,Wuju Style,Removed: No longer gains 10% bonus AD while off cooldown.,-1.0
Master Yi,Highlander,Bonus movement speed changed to 35 / 45 / 55% bonus movement speed from 25 / 35 / 45% multiplicative movement speed.,1.0
Miss Fortune,Gun Goddess Miss Fortune, Bullet Time,-2.0
Miss Fortune,Gun Goddess Miss Fortune,Bug Fix: Now properly laughs during the cast.,0.0
Nunu & Willump,Papercraft Nunu, Biggest Snowball Ever!,-2.0
Nunu & Willump,Papercraft Nunu,Bug Fix: No longer uses base skin Biggest Snowball Ever!.,0.0
Rakan,Battle Dance,Bug Fix: Can now properly recast it even when his mana is lower than the ability's cost.,0.0
Riven,Broken Wings,Cooldown reduced to 12 / 11.5 / 11 / 10.5 / 10 seconds from 13 at all ranks.,-1.0
Riven,Valor,Cooldown increased to 14 / 13 / 12 / 11 / 10 seconds from 10 / 9 / 8 / 7 / 6.,-1.0
Shaco,Hallucinate,"New Effect: Shaco now appears 200 range in the direction of the cursor, facing the clone, rather than a random position 50-250 range in any direct around cast position, facing a random direction.",1.0
Shaco,Hallucinate,"New Effect: The clone now appears 200 range in the opposite direction of the cursor, facing Shaco, rather than a random position 50-250 range in any direction around the cast position, facing a random direction.",1.0
Soraka,Starcall,Rejuvenation bonus movement speed increased to 15 / 20 / 25 / 30 / 35% from 14 / 18 / 22 / 26 / 30%.,1.0
Soraka,Starcall,Bonus movement speed now decays significantly less rapidly.,1.0
Tahm Kench,Regurgitate,Bug Fix: Tooltip now properly displays its AP ratio.,0.0
Tryndamere,Spinning Slash,Cooldown reduced to 12 / 11 / 10 / 9 / 8 seconds from 13 / 12 / 11 / 10 / 9.,-1.0
Tryndamere,Spinning Slash,AP ratio reduced to 80% AP from 100% AP.,1.0
Vayne,Final Hour, Tumble cooldown reduction reduced to 30 / 40 / 50% from 50% at all ranks.,1.0
Xin Zhao,Three Talon Strike,Cooldown reduced to 7 / 6.5 / 6 / 5.5 / 5 seconds from 9 / 8 / 7 / 6 / 5.,-1.0
Yuumi,Bop 'n' Block (Innate),Innate: Yuumi periodically empowers her next basic attack against an enemy champion to restore 30 - 160 (based on level) mana and grant her a 50 - 330 (based on level) (+40% AP) shield that lasts until it is broken.,1.0
Yuumi,Bop 'n' Block (Innate),"While  Attached, the shield transfers to her Anchor.",1.0
Yuumi,Bop 'n' Block (Innate),Static Cooldown: 20 - 8 (based on level) seconds.,-1.0
Yuumi,Prowling Projectile (Q),Active: Yuumi fires an errant missile that deals 40 / 60 / 80 / 100 / 120 / 140 (+30% AP) magic damage to the first enemy hit.,1.0
Yuumi,Prowling Projectile (Q),"If the missile is in flight for 1 second, it instead deals 60 / 100 / 140 / 180 / 220 / 260 (+60% AP) magic damage and  slows by 30 / 40 / 50 / 60 / 70 / 80%, decaying over 1 / 1.1 / 1.2 / 1.3 / 1.4 / 1.5 seconds, to enemy  champions struck.",1.0
Yuumi,Prowling Projectile (Q),"While  Attached, Yuumi directs the trajectory of the missile instead for up to 3 seconds before fizzling.",-2.0
Yuumi,Prowling Projectile (Q),Mana Cost: 60 / 65 / 70 / 75 / 80 / 85.,-1.0
Yuumi,Prowling Projectile (Q),Cooldown: 11 / 10 / 9 / 8 / 7 / 6 seconds.,-1.0
Yuumi,You and Me! (W),"Passive: Yuumi and her Anchor gain bonus attack damage or ability power (Adaptive) equal to a percentage of the other's highest stat (bonus AD = 3 / 5.4 / 7.8 / 10.2 / 12.6%, bonus AP = 5 / 9 / 13 / 17 / 21%). Additionally, Yuumi starts with a point in You and Me! and  Prowling Projectile instead has 6 ranks.",1.0
Yuumi,You and Me! (W),"Active: Yuumi  dashes to an allied champion and attaches to them. While Attached, Yuumi is  untargetable except from  turrets and follows her Anchor's movement, losing the ability to attack but retaining the ability to cast (except movement spells).",-2.0
Yuumi,You and Me! (W),"Active - Change of Plan: Yuumi can switch her Anchor at no cooldown, and will detach automatically if her Anchor dies. If re-activated without a valid target, Yuumi will detach from her Anchor and dash up to 250 units in the target direction.",-1.0
Yuumi,You and Me! (W),Static Cooldown: 10 / 5 / 0 (based on level) seconds.,-1.0
Yuumi,Zoomies (E),"Passive: Yuumi periodically stores a Zoomies charge, up to 2 stored at once.",-2.0
Yuumi,Zoomies (E),"Active: Yuumi  heals herself for 25 / 35 / 45 / 55 / 65 (+10% AP), with the base amount increased by 0% - 100% (based on target's missing health) and the scaling amount increased by 0% - 300% (based on target's missing health), up to 50 / 70 / 90 / 110 / 130 (+40% AP), and gains 25% (+10% per 100 AP) bonus movement speed decaying over 2 seconds.",1.0
Yuumi,Zoomies (E),"While  Attached, her partner is targeted by the ability instead.",-2.0
Yuumi,Zoomies (E),Mana Cost: 60 / 70 / 80 / 90 / 100.,-1.0
Yuumi,Zoomies (E),Cooldown: 0.5 seconds.,-1.0
Yuumi,Zoomies (E),Recharge: 18 / 17 / 16 / 15 / 14 seconds.,1.0
Yuumi,Final Chapter (R),"Active: Yuumi  recoils X units in the opposite direction, after which Book launches 7 waves over 3.5 seconds, each dealing 60 / 100 / 140 (+20% AP) magic damage. Enemy  champions hit take only 40% damage from subsequent waves, and when struck with three waves, they are  rooted for 1.75 seconds.",1.0
Yuumi,Final Chapter (R),Yuumi can move and cast both  You and Me! and  Zoomies during Final Chapter.,-2.0
Yuumi,Final Chapter (R),Mana Cost: 100.,-1.0
Yuumi,Final Chapter (R),Cooldown: 130 / 120 / 110 / 100 / 90 seconds.,-1.0
Zyra,Garden of Thorns,"Damage from basic attacks that doesn't trigger on-hit effects (ex.  Corki's  Hextech Munitions,  Miss Fortune's  Love Tap, etc.) no longer deals a separate instance of damage to her plants.",1.0
Yuumi,Stats,Base mana regeneration increased to 10 from 7.5.,1.0
Yuumi,Bop 'n' Block,Mana restored increased to 40 - 160 (based on level) from 30 - 160 (based on level).,1.0
Yuumi,Bop 'n' Block,Base shield strength increased to 80 - 360 (based on level) from 50 - 330 (based on level).,1.0
Yuumi,Prowling Projectile,Base damage increased to 40 / 65 / 90 / 115 / 140 / 165 from 40 / 60 / 80 / 100 / 120 / 140.,1.0
Yuumi,Prowling Projectile,AP ratio increased to 45% AP from 30% AP.,1.0
Yuumi,Prowling Projectile,Empowered base damage increased to 60 / 105 / 150 / 195 / 240 / 285 from 60 / 100 / 140 / 180 / 220 / 260.,1.0
Yuumi,Prowling Projectile,Slow strength increased to 40 / 48 / 56 / 64 / 72 / 80% from 30 / 40 / 50 / 60 / 70 / 80%.,1.0
Yuumi,Prowling Projectile,Slow duration increased to 1.25 / 1.35 / 1.45 / 1.55 / 1.65 / 1.75 seconds from 1 / 1.1 / 1.2 / 1.3 / 1.4 / 1.5.,1.0
Yuumi,Zoomies,Minimum base heal strength increased to 30 / 40 / 50 / 60 / 70 from 25 / 35 / 45 / 55 / 65.,1.0
Yuumi,Zoomies,Maximum base heal strength increased to 60 / 80 / 100 / 120 / 140 from 50 / 70 / 90 / 110 / 130.,1.0
Yuumi,Final Chapter,Damage taken from subsequent waves increased to 50% from 40%.,1.0
Singed,Noxious Slipstream,Bug Fix: Fixed a bug where it would only give 1 stack of movement speed.,0.0
Aatrox,Stats,Base health regeneration reduced to 3 from 8.,1.0
Aatrox,Deathbringer Stance,"Removed: No longer inflicts  Mutilator against enemy champions, reducing healing and shielding by 40% for 3 seconds.",1.0
Aatrox,Deathbringer Stance,New Effect: Now heals for bonus physical damage dealt.,1.0
Aatrox,Deathbringer Stance,Damage reduced to 5% - 10% (based on level) of the target's maximum health from 8% - 16% (based on level).,1.0
Aatrox,Deathbringer Stance,Static cooldown reduced to 15 seconds from 25.,-1.0
Aatrox,Deathbringer Stance,Removed: Cooldown is reduced by 2 seconds when Aatrox casts an ability or hits a champion with the edge of  The Darkin Blade.,-1.0
Aatrox,Deathbringer Stance,New Effect: Cooldown is reduced by 2 seconds when Aatrox damages a champion or large monster with a basic attack or an ability or when he hits an enemy champion with the edge of  The Darkin Blade.,-1.0
Aatrox,Deathbringer Stance,Maximum bonus damage against monsters reduced to 100 from 400.,1.0
Aatrox,Deathbringer Stance,Attack frame adjusted to match other basic attacks.,-2.0
Aatrox,The Darkin Blade,"New Effect: Cooldown now begins after the most recent  The Darkin Blade sequence finishes, rather than on first cast.",-1.0
Aatrox,The Darkin Blade,Cooldown reduced to 14 / 12 / 10 / 8 / 6 seconds from 16 / 15 / 14 / 13 / 12.,-1.0
Aatrox,The Darkin Blade,Base damage increased to 10 / 30 / 50 / 70 / 90 from 10 / 25 / 40 / 55 / 70.,1.0
Aatrox,Infernal Chains,Slow strength changed to 25% at all ranks from 15 / 20 / 25 / 30 / 35%.,1.0
Aatrox,Infernal Chains,Cooldown increased to 26 / 23 / 20 / 17 / 14 seconds from 18 / 17 / 16 / 15 / 14.,-1.0
Aatrox,Umbral Dash,Removed: No longer grants 15 / 25 / 35 / 45 / 55 bonus AD for 1.5 seconds.,1.0
Aatrox,Umbral Dash,New Effect: Healing changed to all non-periodic champion damage from physical champion damage.,1.0
Aatrox,World Ender,"New Effect: Cooldown now begins on cast, rather than after World Ender expires.",-1.0
Aatrox,World Ender,Cooldown reduced to 140 / 120 / 100 seconds from 160 / 140 / 120.,-1.0
Aatrox,World Ender,Removed: No longer removes buffs during revival.,-1.0
Aatrox,World Ender,New Effects:,-2.0
Aatrox,World Ender,"After 0.25 seconds, Aatrox unleashes his true demonic form for 10 seconds,  fearing nearby enemy minions for 3 seconds, and gaining 60 / 80 / 100% bonus movement speed, decaying over the duration.",1.0
Aatrox,World Ender,"While transformed Aatrox gains increased size and 20 / 25 / 30% AD, and receives 40 / 55 / 70% increased healing.",1.0
Aatrox,World Ender,"With each enemy champion takedown, World Ender is extended by 5 seconds, refreshing its effects, up to the original amount. Additionally if at least one champion has been taken down, if Aatrox takes lethal damage, he will  revive over 3.25 seconds, during which he is  untargetable,  invulnerable,  slowed by 99%, unable to basic attack, cast abilities, or use summoner spells or item actives and heals for 30% of his maximum health. While reviving,  The Darkin Blade's recast timer is locked.",1.0
Aatrox,World Ender,Old Effects:,-2.0
Aatrox,World Ender,"After 0.5 seconds, Aatrox unleashes his true demonic form for 10 seconds,  fearing nearby allied and enemy minions for 3 seconds, and for the first second gaining 120 / 180 / 240 bonus movement speed.",1.0
Aatrox,World Ender,"While transformed Aatrox gains increased size and 20 / 25 / 30% AD, refreshing the bonus movement speed when out-of-combat with champions and turrets.",1.0
Aatrox,World Ender,"Aatrox generates Blood Well equal to 15% - 50% (based on duration) of his maximum health over the duration. Taking lethal damage during World Ender  revives Aatrox over 3.25 seconds, during which he is  untargetable,  slowed by 25%, unable to basic attack, cast abilities, or use summoner spells or item actives and consumes the Blood Well to recover the same amount in health. While reviving,  The Darkin Blade's recast timer is locked.",1.0
Akali,Twilight Shroud,Bonus duration reduced to 2 seconds from 3.,1.0
