,champion,about,text,impact
1752,Sylas,Petricite Burst,Bonus attack speed increased to 125% from 80%.,1.0
1753,Sylas,Kingslayer,Cooldown reduced to 13 / 11.25 / 9.5 / 7.75 / 6 seconds from 13 / 11.5 / 10 / 8.5 / 7.,-1.0
1754,Sylas,Kingslayer,Mana cost reduced to 60 / 70 / 80 / 90 / 100 from 70 / 80 / 90 / 100 / 110.,-1.0
1755,Sylas,Kingslayer,Heal AP ratio reduced to 45% AP from 50% AP.,1.0
1756,Urgot,Purge,On-hit modifier reduced to 50% from 75%.,1.0
1757,Urgot,Purge,"Bug Fix: Each instance of damage dealt now properly counts as a separate hit for effects such as  Manamune stacking,  Muramana on-hit,  Runaan's Hurricane,  Ravenous Hydra,  Electrocute and  Eclipse.",0.0
1758,Urgot,Purge,Undocumented: On-hit damage applied from  Runaan's Hurricane's Wind's Fury is now reduced by Purge.,1.0
1759,Volibear,Frenzied Maul,Healing against monsters increased to 100% from 50%.,1.0
1760,Volibear,Sky Splitter,Damage cap against non-champions increased to 750 at all ranks from 150 / 300 / 450 / 600 / 750.,1.0
1761,Warwick,Infinite Duress,New Effect: Each instance of damage dealt now counts as a separate hit for effects such as  Electrocute and  Eclipse.,1.0
1762,Xin Zhao,Determination,Base heal reduced to 7 - 92 (based on level) from 10 - 112 (based on level).,1.0
1763,Xin Zhao,Determination,Heal AP ratio increased to 55% AP from 40% AP.,1.0
1764,Xin Zhao,Determination,Bug Fix: Basic attacking an enemy after casting  Wind Becomes Lightning now correctly consumes all Determination stacks.,0.0
1765,Xin Zhao,Three Talon Strike,Base damage reduced to 16 / 25 / 34 / 43 / 52 from 20 / 28 / 36 / 44 / 52.,1.0
1767,Xin Zhao,Wind Becomes Lightning,New Effect: Thrust damage is now increased by 0% - 33.3% (based on critical strike chance).,1.0
1768,Xin Zhao,Wind Becomes Lightning,Cast time changed to 0.5 seconds at all attack speed from 0.5 / 0.4 (based on bonus attack speed).,1.0
1769,Xin Zhao,Wind Becomes Lightning,Cooldown reduced to 12 / 10.5 / 9 / 7.5 / 6 seconds from 12 / 11 / 10 / 9 / 8.,-1.0
1770,Xin Zhao,Wind Becomes Lightning,Mana cost increased to 60 from 45.,-1.0
1771,Xin Zhao,Wind Becomes Lightning,Thrust range increased to 1000 units from 900.,1.0
1772,Xin Zhao,Wind Becomes Lightning,Thrust missile speed increased to 6250 from 5000.,1.0
1773,Xin Zhao,Wind Becomes Lightning,Minion damage increased to 50% - 100% (based on level) from 50% at all levels.,1.0
1774,Xin Zhao,Wind Becomes Lightning,New Effect: Thrust damage now scales with 50% AP.,1.0
1775,Xin Zhao,Wind Becomes Lightning,New Effect: Thrust damage now  Challenges and reveals champions and monsters for 3 seconds.,1.0
1777,Xin Zhao,Audacious Charge,New Effect: Dash range is now increased to 1100 units against  Challenged targets.,1.0
1778,Xin Zhao,Audacious Charge,Cooldown reduced to 11 seconds from 12.,-1.0
1779,Xin Zhao,Audacious Charge,Dash speed reduced to 2500 from 3000.,1.0
1780,Xin Zhao,Crescent Guard,Duration increased to 5 seconds from 3.,1.0
1781,Xin Zhao,Crescent Guard,Removed: Basic attacks and ability casts no longer extend the duration by 0.3 seconds.,1.0
1782,Xin Zhao,Crescent Guard,New Effect: Damage now scales with 110% AP.,1.0
1783,Azir,Arise!,Soldier base damage reduced to 50 - 150 (based on level) from 60 - 160 (based on level).,1.0
1785,Camille,Tactical Sweep,"Bug Fix: Heal now properly takes into account her outer cone bonus damage, not the inner cone damage.",0.0
1787,Ezreal,Mystic Shot,Bug Fix: Fixed a bug where this attack would not trigger  Runaan's Hurricane's Wind's Fury if he casted it and turned around before it hit.,0.0
1789,Gragas,Barrel Roll,Mana cost increased to 80 at all ranks from 60 / 65 / 70 / 75 / 80.,-1.0
1791,Jax,Stats,Attack damage growth increased to 4.25 from 3.38.,1.0
1792,Karma,Inner Flame,Cooldown reduced to 8 / 7.5 / 7 / 6.5 / 6 seconds from 9 / 8.5 / 8 / 7.5 / 7.,-1.0
1796,Kog'Maw,Bio-Arcane Barrage,Bonus magic damage health ratio increased to 3 / 4 / 5 / 6 / 7% of target's maximum health from 3 / 3.75 / 4.5 / 5.25 / 6%.,1.0
1797,Master Yi,Wuju Style,Base bonus true damage increased to 20 / 30 / 40 / 50 / 60 from 18 / 26 / 34 / 42 / 50.,1.0
1798,Pyke,Gift of the Drowned Ones,"New Effect: Now stores 10% (+0.25% per 1 Lethality) of damage taken as Grey Health, increased to 35% (+0.5% per 1 Lethality) if there are two or more enemies nearby.",1.0
1799,Pyke,Gift of the Drowned Ones,Removed: No longer stores 25% - 50% (based on level) of damage taken as Grey Health.,1.0
1800,Quinn,General,Undocumented: Quinn and Valor now properly take turns talking during their joke emote.,0.0
1801,Quinn,Heartseeker Quinn,Bug Fix: Recall SFX now play properly.,0.0
1802,Qiyana,Terrashape,Base bonus magic damage damage increased to 8 / 22 / 36 / 50 / 64 from 8 / 16 / 24 / 32 / 40.,1.0
1803,Qiyana,Terrashape,Bonus magic damage AP ratio increased to 45% AP from 30% AP.,1.0
1804,Qiyana,Terrashape,Bonus movement speed increased to 5 / 7 / 9 / 11 / 13% from 5 / 6.25 / 7.5 / 8.75 / 10%.,1.0
1805,Qiyana,Supreme Display of Talent,Base damage increased to 100 / 200 / 300 from 100 / 170 / 240.,1.0
1806,Rammus,Stats,Health growth reduced to 80 from 95.,1.0
1807,Rell,Stats,Base armor reduced to 32 from 35.,1.0
1808,Rell,Ferromancy: Crash Down,Cooldown increased to 13 seconds from 11.,-1.0
1809,Rell,Ferromancy: Mount Up,Cooldown increased to 13 seconds from 11.,-1.0
1810,Samira,Stats,Attack damage growth increased to 3 from 2.3.,1.0
1811,Samira,Flair,AD ratio increased to 80 / 90 / 100 / 110 / 120% AD from 80 / 87.5 / 95 / 102.5 / 110% AD.,1.0
1812,Samira,Inferno Trigger,Bug Fix: Now properly triggers  Ravenous Hydra's Cleave.,0.0
1813,Sejuani,Winter's Wrath,Second hit health ratio increased to 6% of her maximum health from 5.25%.,1.0
1814,Senna,Absolution,New Effect: Can now only grant a maximum of 100% critical strike chance.,1.0
1815,Senna,Absolution,Excess critical strike chance is still converted into life steal.,1.0
1816,Seraphine,Stage Presence,Note base damage changed to 4 / 8 / 14 / 24 (based on level) from 4 - 16 (based on level).,1.0
1817,Seraphine,Stage Presence,Removed: Notes no longer deal 95% damage of the previous one to non-minions.,1.0
1818,Seraphine,Stage Presence,New Effect: Notes from allies now deal 25% damage.,1.0
1819,Seraphine,Encore,Cooldown increased to 180 / 150 / 120 seconds from 160 / 140 / 120.,-1.0
1820,Shaco,Jack in the Box,New Effect: Now deals 10 / 20 / 30 / 40 / 50 bonus damage against monsters.,1.0
1821,Shaco,Jack in the Box,Single target base damage reduced to 25 / 40 / 55 / 70 / 85 from 35 / 50 / 65 / 80 / 95.,1.0
1822,Shaco,Jack in the Box,Multi target base damage reduced to 10 / 15 / 20 / 25 / 30 from 15 / 20 / 25 / 30 / 35.,1.0
1823,Shyvana,Burnout,Bug Fix: No longer causes subsequent basic attacks while it is active to not trigger  Ravenous Hydra's Cleave after using a basic attack.,0.0
1824,Trundle,Chomp,Cooldown reduced to 3.5 seconds from 4.,-1.0
1825,Tryndamere,Undying Rage,Bug Fix: Now properly ignores damage dealt in excess of the health threshold from an ability that would apply  Horizon Focus' Hypershot.,0.0
1826,Twitch,Deadly Venom,Damage per tick AP ratio per stack reduced to 2.5% AP from 3% AP.,1.0
1827,Twitch,Deadly Venom,Total damage AP ratio per stack reduced to 15% AP from 18% AP.,1.0
1828,Twitch,Spray and Pray,Bonus attack damage increased to 30 / 45 / 60 from 25 / 40 / 55.,1.0
1829,Twitch,Spray and Pray,Duration increased to 6 seconds from 5.,1.0
1830,Udyr,General,Bug Fix: Fixed a bug where he was able to trigger  Tear of the Goddess' mana charge with every attack.,0.0
1831,Udyr,Stats,Health growth reduced to 92 from 99.,1.0
1832,Udyr,Phoenix Stance,Aura base damage reduced to 40 / 80 / 120 / 160 / 200 / 240 from 50 / 95 / 140 / 185 / 230 / 275.,1.0
1833,Urgot,Purge,"Bug Fix: Each attack beyond the first now properly triggers  Muramana's Shock and  Ravenous Hydra's Cleave, instead of only triggering on the first attack.",0.0
1834,Viego,Sovereign's Domination,New Effect: Enemy champions possessed who own  Dark Seal or  Mejai's Soulstealer and have Glory stacks will now also be gained by him during the possession.,1.0
1835,Viego,Sovereign's Domination,Bug Fix: No longer loses stacks of Glory from  Dark Seal and  Mejai's Soulstealer upon possessing an enemy champion.,0.0
1836,Viego,Sovereign's Domination,Bug Fix: Fixed a bug where he could sometimes possess a Mist Wraith from a massive range if cast right at the start of another possession.,0.0
1837,Viego,Sovereign's Domination,Bug Fix: Fixed a bug where he would sometimes instantly possess Mist Wraiths without the wind up time on them.,0.0
1838,Viego,Sovereign's Domination,Removed: No longer pops in-flight  turret projectiles when he becomes untargetable from the wind up on a Mist Wraith.,1.0
1839,Viktor,Glorious Evolution,Bug Fix:  Relic Shield's Spoils of War kills now properly count towards Glorious Evolution.,0.0
1840,Vladimir,General,Undocumented/Bug Fix: Blood Orb particle restored.,0.0
1841,Pyke,Gift of the Drowned Ones,Bug Fix: Fixed a bug where  untargetable enemies would not count towards the additional health regen he receives when he's near two or more enemies.,0.0
1842,Azir,Emperor's Divide,"Bug Fix: Fixed a bug where the ability would fail to hit the champions behind him, even if they are visually in the ability's range",0.0
1843,Azir,Emperor's Divide,Back missiles restored.,1.0
1844,Viego,Sovereign's Domination,"Bug Fix:  Dark Seal's stacks no longer underflow if Viego died with the item under certain conditions while transformed, which lead to Viego gaining extreme values of AP.",0.0
1845,Wukong,Stone Skin,Bug Fix: Once again grants Wukong the base bonus armor and health regeneration.,0.0
1846,Graves,Smoke Screen,Bug Fix: Fixed a bug where it would block abilities when cast on top of Graves.,0.0
1847,Jayce,Acceleration Gate,Bug Fix: Fixed a bug where he would gain 2  Muramanas if he upgraded  Manamune while casting Acceleration Gate on an ally.,0.0
1848,Kled,Skaarl the Cowardly Lizard,Bug Fix: Fixed a bug where Skaarl's total health wasn't being treated as bonus health.,0.0
1849,Kled,Skaarl the Cowardly Lizard,Bug Fix: Fixed a bug where remounting would be affected  Grievous Wounds.,0.0
1850,Kled,Skaarl the Cowardly Lizard,Bug Fix: Fixed a bug where Kled's dismounted health would not regenerate past the amount he was at when he remounted.,0.0
1851,Kled,Skaarl the Cowardly Lizard,Bug Fix: Fixed a bug where Skaarl would not respawn at full health after Kled's been killed.,0.0
1852,Kled,Skaarl the Cowardly Lizard,Bug Fix: Fixed a bug where would still gain courage while being revived by  Guardian Angel.,0.0
1853,Amumu,Stats,Base health increased to 615 from 613.,1.0
1854,Amumu,Tantrum,Base damage increased to 75 / 100 / 125 / 150 / 175 from 75 / 95 / 115 / 135 / 155.,1.0
1855,Braum,Glacial Fissure,Cooldown reduced to 120 / 100 / 80 seconds from 140 / 120 / 100.,-1.0
1856,Caitlyn,Stats,Attack damage growth increased to 3.8 from 3.3.,1.0
1857,Caitlyn,Stats,Attack speed growth increased to 4% from 3.5%.,1.0
1858,Camille,Tactical Sweep,Cooldown increased to 17 / 15.5 / 14 / 12.5 / 11 seconds from 15 / 13.5 / 12 / 10.5 / 9.,-1.0
1859,Fiora,Duelist's Dance,Base damage increased to 3% of target's maximum health from 2.5%.,1.0
1860,Fiora,Duelist's Dance,Bonus AD ratio increased to 5.5% per 100 bonus AD from 4.5%.,1.0
1861,Jinx,Stats,Base health increased to 610 from 550.,1.0
1862,Jinx,Switcheroo!,Bug Fix: Fishbones attack speed penalty no longer improperly affects base attack speed.,0.0
1863,Kai'Sa,Icathian Rain,Base damage per missile reduced 40 / 55 / 70 / 85 / 100 from 45 / 61.25 / 77.5 / 93.75 / 110.,1.0
1864,Kai'Sa,Icathian Rain,Maximum single target base damage reduced to 90 / 123.75 / 157.5 / 191.25 / 225 from 101.25 / 137.8125 / 174.375 / 210.9375 / 247.5.,1.0
1865,Kai'Sa,Icathian Rain,Maximum evolved single target base damage reduced to 150 / 206.25 / 262.5 / 318.75 / 375 from 168 / 229.125 / 290.25 / 351.375 / 412.5.,1.0
1866,Katarina,Death Lotus,On-hit modifier increased to 25 / 30 / 35% from 25% at all ranks.,1.0
1867,Katarina,Death Lotus,Bonus AD ratio per dagger increased to 16% bonus AD from 15%.,1.0
1868,Katarina,Death Lotus,Attack speed ratio per dagger increased to 12.8% total attack speed from 9.9%.,1.0
1869,Katarina,Death Lotus,Bug Fix: Tooltip now properly states that the ability also triggers on-attack effects.,0.0
1870,Lee Sin,Sonic Wave,Cooldown reduced to 10 / 9 / 8 / 7 / 6 seconds from 11 / 10 / 9 / 8 / 7.,-1.0
1871,Rell,Break the Mold,Bug Fix: Resistances shred icon has now been adjusted for afflicted minions and monsters.,0.0
1872,Renekton,Cull the Meek,Base heal against non-champions reduced to 3 / 4 / 5 / 6 / 7 from 3 / 4.5 / 6 / 7.5 / 9.,1.0
1873,Renekton,Cull the Meek,Empowered base heal against non-champions reduced to 9 / 12 / 15 / 18 / 21 from 9 / 13.5 / 18 / 22.5 / 27.,1.0
1874,Samira,Daredevil Impulse,AD ratio changed to 3.5% - 10.5% (based on level) AD from 7.5% AD.,1.0
1875,Samira,Flair,AD ratio changed to 80 / 87.5 / 95 / 102.5 / 110% AD from 100% AD at all ranks.,1.0
1876,Samira,Blade Whirl,Duration reduced to 0.75 seconds from 1.25.,1.0
1877,Samira,Wild Rush,Dash speed reduced to 1600 from 2050.,1.0
1878,Samira,Wild Rush,"New Effect: Can now be cast on enemy structures to dash through them, but will target champions over structures.",1.0
1879,Samira,Wild Rush,Damage is not applied against structures.,1.0
1880,Samira,Wild Rush,Removed: Can no longer be cast on allies.,1.0
1881,Samira,Inferno Trigger,Cooldown increased to 8 seconds from 3.,-1.0
1882,Skarner,Stats,Base health reduced to 580 from 601.,1.0
1883,Skarner,Stats,Health growth reduced to 85 from 90.,1.0
1884,Soraka,Starcall,Bonus movement speed increased to 20 / 22.5 / 25 / 27.5 / 30% from 15 / 17.5 / 20 / 22.5 / 25%.,1.0
1885,Soraka,Astral Infusion,Base heal increased to 100 / 135 / 170 / 205 / 240 from 90 / 125 / 160 / 195 / 230.,1.0
1886,Talon,Rake,Cooldown reduced to 9 / 8.5 / 8 / 7.5 / 7 seconds from 9 seconds at all ranks.,-1.0
1887,Talon,Rake,Initial pass bonus AD ratio increased to 55% bonus AD from 40%.,1.0
1888,Talon,Shadow Assault,Bug Fix: No longer causes the caster to become visible while stealthed if they reset  Duskblade of Draktharr's Nightstalker during the invisibility.,0.0
1889,Tryndamere,Stats,Base attack damage increased to 72 from 69.,1.0
1890,Urgot,Purge,On-hit modifier increased to 75% from 50%.,1.0
1891,Varus,Blighted Quiver, Piercing Arrow maximum bonus damage increased to 10.8% - 25.2% (based on level) of the target's missing health from 9% - 21% (based on level).,1.0
1892,Veigar,Baleful Strike,Mana cost reduced to 30 / 35 / 40 / 45 / 50 from 40 / 45 / 50 / 55 / 60.,-1.0
1893,Veigar,Primordial Burst,Cooldown reduced to 120 / 90 / 60 seconds from 120 / 100 / 80.,-1.0
1894,Anivia,Flash Frost,Explosion base damage reduced to 60 / 95 / 130 / 165 / 200 from 70 / 105 / 140 / 175 / 210.,1.0
1895,Anivia,Flash Frost,Explosion AP ratio reduced to 45% AP from 50% AP.,1.0
1896,Anivia,Glacial Storm,Cooldown increased to 4 / 3 / 2 seconds from 4 / 2.5 / 1.,-1.0
1897,Cho'Gath,Vorpal Spikes,Base damage reduced to 22 / 34 / 46 / 58 / 70 from 22 / 37 / 52 / 67 / 82.,1.0
1898,Elise,Neurotoxin,Base damage reduced to 40 / 70 / 100 / 130 / 160 from 40 / 75 / 110 / 145 / 180.,1.0
1899,Elise,Skittering Frenzy,Active bonus attack speed reduced to 60 / 70 / 80 / 90 / 100% from 60 / 80 / 100 / 120 / 140%.,1.0
1900,Ezreal,Mystic Shot,AD ratio increased to 130% AD from 120% AD.,1.0
1902,Ivern,Stats,Health growth reduced to 85 from 95.,1.0
1903,Ivern,Triggerseed,Base shield reduced to 80 / 110 / 140 / 170 / 200 from 80 / 115 / 150 / 185 / 220.,1.0
1904,Jinx,Stats,Base health reduced to 550 from 610.,1.0
1905,Jinx,Switcheroo!,Bonus attack range increased to 100 / 125 / 150 / 175 / 200 from 75 / 100 / 125 / 150 / 175.,1.0
1906,Jinx,Switcheroo!,Fishbones attack speed reduction reduced to 10% from 25%.,-1.0
1907,Jinx,Flame Chompers!,Mana cost increased to 90 from 70.,-1.0
1908,Jinx,Flame Chompers!,Arm time reduced to 0.5 seconds from 0.7.,-1.0
1909,Jinx,Flame Chompers!,"New Effect: When casting it farther than max range, it now casts to the max range instead of causing you to walk into range and then casting.",1.0
1910,Karma,Stats,Base mana regeneration increased to 13 from 11.5.,1.0
1911,Karma,Inner Flame,Mana cost reduced to 55 from 65.,-1.0
1912,Mordekaiser,Death's Grasp,Cooldown reduced to 22 / 19 / 16 / 13 / 10 seconds from 24 / 21 / 18 / 15 / 12.,-1.0
1913,Olaf,Stats,Base health reduced to 575 from 597.,1.0
1914,Olaf,Berserker Rage,Bonus attack speed reduced to 0% - 75% (based on missing health) from 0% - 100% (based on missing health).,1.0
1915,Olaf,Berserker Rage,New Effect: The amount of attack speed being granted is now displayed on his passive icon.,1.0
1916,Pantheon,Comet Spear,New Effect: Damage is now reduced by 30% against monsters.,1.0
1917,Pantheon,Comet Spear,Cooldown increased to 13 / 11.75 / 10.5 / 9.25 / 8 seconds from 10 / 9.5 / 9 / 8.5 / 8.,-1.0
1918,Rammus,Frenzying Taunt,Cooldown increased to 12 seconds at all ranks from 12 / 11.5 / 11 / 10.5 / 10.,-1.0
1919,Rell,Ferromancy: Crash Down,AP ratio increased to 60% AP from 40% AP.,1.0
1920,Rell,Ferromancy: Mount Up,AP ratio increased to 40% AP from 30% AP.,1.0
1921,Rell,Attract and Repel,Unbinding cooldown reduced to 1 second from 2.75.,-1.0
1922,Rell,Attract and Repel,Bug Fix: Fixed a bug where the cooldown was scaling non-linearly.,0.0
1923,Rell,Attract and Repel,"Bug Fix: When cast from very long ranges, now properly path towards the target until in range to cast it.",0.0
1924,Rell,Magnet Storm,Total AP ratio increased to 110% AP from 70% AP.,1.0
1925,Riven,Valor,Cooldown reduced to 10 / 9 / 8 / 7 / 6 seconds from 12 / 11 / 10 / 9 / 8.,-1.0
1926,Seraphine,Stage Presence,Base damage per note reduced to 4 - 16 (based on level) from 5 - 20 (based on level).,1.0
1927,Seraphine,Surround Sound,Ally base shield reduced to 50 - 100 (based on level) from 60 - 120 (based on level).,1.0
1928,Seraphine,Surround Sound,Self base shield reduced to 75 - 150 (based on level) from 90 - 180 (based on level).,1.0
1929,Shyvana,Twin Bite,New Effect: First attack now scales with 25% AP and second attack now scales with 15% AP.,1.0
1930,Shyvana,Burnout,New Effect: Bonus movement speed now scales with 8% per 100 AP.,1.0
1931,Shyvana,Burnout,Bug Fix: Bonus movement speed AP ratio now properly applies in dragon form.,0.0
1932,Sion,Decimating Smash,Bug Fix: Hitbox can no longer be manipulated to appear in a different location further away.,0.0
1933,Singed,Poison Trail,AP ratio increased to 90% AP from 80% AP.,1.0
1934,Sylas,Chain Lash,Mana cost changed to 55 at all ranks from 50 / 55 / 60 / 65 / 70.,-1.0
1935,Sylas,Kingslayer,Base damage increased to 70 / 105 / 140 / 175 / 210 from 60 / 95 / 130 / 165 / 200.,1.0
1936,Sylas,Kingslayer,Damage AP ratio increased to 90% AP from 85% AP.,1.0
1937,Taliyah,Rock Surfing,Bonus movement speed increased to 20% - 45% (based on level) from 12% - 40% (based on level).,1.0
1938,Taliyah,Threaded Volley,Subsequent stone damage against monsters reduced to 80% from 100%.,1.0
1939,Udyr,Phoenix Stance,Aura base damage reduced to 50 / 95 / 140 / 185 / 230 / 275 from 50 / 100 / 150 / 200 / 250 / 300.,1.0
1940,Vladimir,Hemoplague,Cooldown reduced to 120 seconds at all ranks from 150 / 135 / 120.,-1.0
1941,Fizz,Playful,Bug Fix: Fixed a bug where he was locked out of casting his other abilities until he casted  Trickster.,0.0
1942,Viego,General,Bug Fix: Fixed a bug where he was able to spam his Eternals.,0.0
1943,Viego,Sovereign's Domination,Bug Fix: No longer keeps  Barrel Roll or  Lucent Singularity after possession ends.,0.0
1944,Viego,Sovereign's Domination,Bug Fix: Fixed a bug where he would cast different abilities after possessing  Hecarim and using  Spirit of Dread.,0.0
1945,Viego,Sovereign's Domination,"Bug Fix: Fixed a bug where gain additional permanent ability haste from  Transcendence if he leveled up to 5, 8 or 11 during possession.",0.0
1946,Viego,Blade of the Ruined King,Healing against minions reduced to 100% from 150%.,1.0
1947,Aatrox,Umbral Dash,New Effect: Healing against champions is now increased to 26 / 32 / 38 / 44 / 50% during  World Ender.,1.0
1948,Aatrox,World Ender,Healing amplification reduced to 30 / 45 / 60% from 50 / 75 / 100%.,1.0
1949,Akali,Five Point Strike,Energy cost increased to 120 / 115 / 110 / 105 / 100 from 120 / 110 / 100 / 90 / 80.,-1.0
1950,Aphelios,Onslaught,Bug Fix: Now properly modifies damage dealt by  Kraken Slayer's Bring It Down.,0.0
1951,Azir,Conquering Sands,Cooldown reduced to 14 / 12 / 10 / 8 / 6 seconds from 15 / 13 / 11 / 9 / 7.,-1.0
1952,Azir,Arise!,Bug Fix: Soldiers now properly stack  Tear of the Goddess' Mana Charge.,0.0
1953,Caitlyn,Stats,Attack damage growth increased to 3.3 from 2.88.,1.0
1954,Darius,Hemorrhage,Bonus attack damage reduced to 20 - 205 (based on level) from 30 - 230 (based on level).,1.0
1955,Dr. Mundo,Infected Cleaver,Health cost refund on cleaver hit increased to 50% from 40%.,1.0
1956,Dr. Mundo,Infected Cleaver,Health cost refund on kill increased to 100% from 80%.,1.0
1957,Dr. Mundo,Masochism,Health ratio increased to 4 / 4.5 / 5 / 5.5 / 6% maximum health from 3 / 3.5 / 4 / 4.5 / 5%.,1.0
1958,Dr. Mundo,Sadism,Total health regeneration increased to 60 / 85 / 110% maximum health from 50 / 75 / 100%.,1.0
1959,Draven,Spinning Axe,Bug Fix: No longer generates more than the intended  Tear of the Goddess mana charges.,0.0
1960,Elise,Venomous Bite,Base damage reduced to 70 / 105 / 140 / 175 / 210 from 70 / 110 / 150 / 190 / 230.,1.0
1961,Garen,Judgment,Bug Fix: Number of spins now properly accounts for the bonus attack speed gained from  Trinity Force's Mythic passive.,0.0
1962,Ivern,Triggerseed,Bug Fix: Shield AP ratio properly reduced to 80% AP from 90% AP.,0.0
1963,Katarina,Death Lotus,Bug Fix: Now properly modifies damage dealt by  Kraken Slayer's Bring It Down.,0.0
1964,LeBlanc,Stats,Health growth increased to 97 from 92.,1.0
1965,LeBlanc,Sigil of Malice,Mana cost reduced to 50 / 55 / 60 / 65 / 70 from 50 / 60 / 70 / 80 / 90.,-1.0
1966,Lissandra,Frozen Tomb,Bug Fix: No longer applies  Horizon Focus' Hypershot to all enemy champions damaged within the area of effect; now properly applies the debuff to only the stunned target.,0.0
1967,Maokai,Sapling Toss,Mana cost increased to 60 / 70 / 80 / 90 / 100 from 60 / 65 / 70 / 75 / 80.,-1.0
1968,Maokai,Sapling Toss,AP ratio reduced to 0.8% per 100 AP from 1% per 100 AP.,1.0
1969,Maokai,Sapling Toss,Empowered sapling AP ratio reduced to 1.6% per 100 AP from 2% per 100 AP.,1.0
1970,Nocturne,Duskbringer,Cooldown reduced to 8 seconds from 10.,-1.0
1971,Nocturne,Paranoia,Cooldown reduced to 140 / 115 / 90 from 150 / 125 / 100.,-1.0
1972,Nunu & Willump,Stats,Movement speed reduced to 340 from 345.,1.0
1973,Nunu & Willump,Stats,Base health reduced to 540 from 570.,1.0
1974,Olaf,Vicious Strikes,Life steal increased to 16 / 18 / 20 / 22 / 24% from 14 / 16 / 18 / 20 / 22%.,1.0
1975,Olaf,Vicious Strikes,Healing amplification reduced to 0% - 33% (based on missing health) from 0% - 50% (based on missing health).,1.0
1976,Pantheon,Grand Starfall,Bug Fix: Spear slow debuff now properly shows up on the affected enemy's HUD.,0.0
1977,Senna,Stats,Attack speed ratio increased to 0.3 from 0.2.,1.0
1978,Senna,Absolution,Mist Wraith spawn rate on minions she doesn't kill increased to 28% from 22%.,1.0
1979,Senna,Absolution,Mist Wraith gold increased to  8 from  3.,1.0
1980,Senna,Piercing Darkness,Heal AP ratio increased to 40% AP from 25% AP.,1.0
1981,Senna,Piercing Darkness,Damage bonus AD ratio increased to 50% bonus AD from 40%.,1.0
1982,Senna,Piercing Darkness,Bug Fix: Now properly grants a stack of  Kraken Slayer's Bring It Down when hitting enemy champions and turrets.,0.0
1983,Shaco,Backstab,Base damage increased to 20 - 35 (based on level) from 10 - 25 (based on level).,1.0
1984,Soraka,Salvation,Bug Fix: No longer receives the bonus movement speed from  Yuumi while she is below the health threshold and is attached to her via  You and Me!.,0.0
1985,Soraka,Starcall,Base heal increased to 50 / 65 / 80 / 95 / 110 from 50 / 60 / 70 / 80 / 90.,1.0
1986,Soraka,Astral Infusion,Base heal increased to 90 / 125 / 160 / 195 / 230 from 80 / 115 / 150 / 185 / 220.,1.0
1987,Soraka,Astral Infusion,Heal AP ratio increased to 70% AP from 60% AP.,1.0
1988,Trundle,Chomp,AD ratio increased to 15 / 25 / 35 / 45 / 55% AD from 10 / 20 / 30 / 40 / 50% AD.,1.0
1989,Trundle,Frozen Domain,Bonus attack speed increased to 30 / 50 / 70 / 90 / 110% from 20 / 40 / 60 / 80 / 100%.,1.0
1990,Udyr,Tiger Stance,Bug Fix: Is no longer able to trigger  Eclipse's Ever Rising Moon with a single attack from Tiger Stance.,0.0
1991,Udyr,Phoenix Stance,Bug Fix: Is no longer able to trigger  Eclipse's Ever Rising Moon with a single attack from Phoenix Stance.,0.0
1992,Urgot,Purge,Bug Fix: Now properly modifies damage dealt by  Kraken Slayer's Bring It Down.,0.0
1993,Varus,Stats,Mana growth increased to 40 from 33.,1.0
1994,Varus,Chain of Corruption,Cooldown reduced to 100 / 80 / 60 seconds from 120 / 90 / 60.,-1.0
1995,Viego,Sovereign's Domination (Innate),"Innate: Whenever an enemy  champion is killed by Viego or dies within 3 seconds of being damaged by him, a Mist Wraith spawns from their corpse for 8 seconds. Viego can basic attack a Mist Wraith to possess it,  heal himself for 8% (+2.5% per 100 bonus AD) (+1.5% per 100 AP) (+2.5% per 100% bonus attack speed) of the target's maximum health, and  blink to its location after winding up for 1 second, during which he is  untargetable (except to  turrets).",1.0
1996,Viego,Sovereign's Domination (Innate),"Possession lasts for 10 seconds and replaces Viego's basic attacks, basic abilities, items, base stats (based on Viego's level), and appearance with the champion the Mist Wraith was summoned by and grants him a free cast of  Heartbreaker that is initially placed on a 1.5-second cooldown. Viego also gains 10% bonus movement speed while moving toward nearby enemy champions during this time.",1.0
1998,Viego,Sovereign's Domination (Innate),Viego will preserve his current health percentage between transformations.,1.0
1999,Viego,Blade of the Ruined King (Q),Passive: Viego's basic attacks deal 2 / 3 / 4 / 5 / 6% of the target's current health bonus physical damage  on-hit. The bonus damage has a minimum threshold of 10 / 15 / 20 / 25 / 30 and is capped at 80 against  monsters.,1.0
2000,Viego,Blade of the Ruined King (Q),"Additionally, Viego's damaging abilities apply a mark to enemies for 4 seconds. Viego's next basic attack against a marked target consumes the mark to strike twice, with the second strike dealing 20% AD (+15% AP) physical damage and  healing him for 150% of the post-mitigation damage dealt, increased to 155% against monsters. The second strike is affected by  critical strike modifiers and, while not under  possession, it applies  on-hit effects at 100% effectiveness.",1.0
2001,Viego,Blade of the Ruined King (Q),"Active: Viego thrusts his blade in the target direction, dealing 25 / 40 / 55 / 70 / 85 (+60% AD) physical damage to enemies hit, increased by 0% - 75% (based on critical strike chance), and 10 bonus physical damage against monsters.",1.0
